"","rank","population","region","subregion","country","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines","source_name","source_website","dummydelete","max","digits"
"38",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-01,780342,487078,293264,3881,6183,27.16,16.95,10.21,2152,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"39",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-03,787321,490050,297271,NA,4040,27.4,17.06,10.35,1406,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"40",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-06,798624,492522,306102,NA,3774,27.8,17.14,10.65,1314,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"41",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-07,803682,493346,310336,5058,3889,27.97,17.17,10.8,1354,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"42",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-08,809992,494437,315555,6310,4236,28.19,17.21,10.98,1474,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"43",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-09,816556,496024,320532,6564,4675,28.42,17.27,11.16,1627,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"44",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-10,823053,498437,324616,6497,5105,28.65,17.35,11.3,1777,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"45",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-11,830281,501735,328546,7228,5599,28.9,17.46,11.44,1949,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"46",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-12,834868,503721,331147,4587,5716,29.06,17.53,11.53,1990,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"47",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-13,836430,504257,332173,1562,5401,29.11,17.55,11.56,1880,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"48",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-14,842535,507764,334771,6105,5550,29.33,17.67,11.65,1932,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"49",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-15,848430,507854,340576,5895,5491,29.53,17.68,11.85,1911,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"50",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-16,854227,509282,344945,5797,5382,29.73,17.73,12.01,1873,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"51",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-17,862628,511175,351453,8401,5654,30.03,17.79,12.23,1968,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"52",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-20,880912,515884,365028,NA,6355,30.66,17.96,12.71,2212,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"53",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-21,890052,519674,370378,9140,6788,30.98,18.09,12.89,2363,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"54",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-22,901429,525800,375629,11377,7571,31.38,18.3,13.07,2635,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"55",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-23,912874,532225,380649,11445,8378,31.77,18.53,13.25,2916,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"56",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-24,922886,537018,385868,10012,8608,32.12,18.69,13.43,2996,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"57",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-28,943439,547300,396139,NA,7627,32.84,19.05,13.79,2655,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"58",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-29,955498,556252,399246,12059,7724,33.26,19.36,13.9,2689,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"59",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-06-30,968034,564530,403504,12536,7880,33.69,19.65,14.05,2743,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"60",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-01,974486,567084,407402,6452,7371,33.92,19.74,14.18,2566,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"61",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-02,981499,569352,412147,7013,7639,34.16,19.82,14.35,2659,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"62",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-04,988550,571759,416791,NA,7178,34.41,19.9,14.51,2498,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"63",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-05,994081,574187,419894,5531,7235,34.6,19.99,14.62,2518,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"64",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-06,1000063,576905,423158,5982,6366,34.81,20.08,14.73,2216,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"65",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-07,1005663,579552,426111,5600,5376,35,20.17,14.83,1871,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"66",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-08,1011297,582106,429191,5634,5259,35.2,20.26,14.94,1831,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"67",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-09,1016554,584832,431722,5257,5008,35.38,20.36,15.03,1743,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"68",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-10,1021408,587238,434170,4854,5198,35.55,20.44,15.11,1809,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"69",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-11,1022802,587876,434926,1394,4893,35.6,20.46,15.14,1703,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"70",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-12,1029234,590476,438758,6432,5022,35.83,20.55,15.27,1748,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"71",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-13,1035667,592502,443165,6433,5086,36.05,20.62,15.43,1770,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"72",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-14,1043499,594669,448830,7832,5405,36.32,20.7,15.62,1881,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"73",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-15,1052108,596977,455131,8609,5830,36.62,20.78,15.84,2029,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"74",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-16,1060042,599387,460655,7934,6213,36.9,20.86,16.03,2163,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"75",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-17,1067135,601701,465434,7093,6532,37.14,20.94,16.2,2274,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"76",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-18,1069365,602460,466905,2230,6652,37.22,20.97,16.25,2315,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"77",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-20,1082424,609538,472886,NA,6680,37.68,21.22,16.46,2325,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"78",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-21,1095453,616592,478861,13029,7422,38.13,21.46,16.67,2583,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"79",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-22,1109785,624490,485295,14332,8240,38.63,21.74,16.89,2868,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"80",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-25,1138771,640047,498724,NA,9915,39.64,22.28,17.36,3451,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"81",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-29,1179769,660756,519013,NA,9998,41.06,23,18.07,3480,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"82",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-30,1190847,665632,525215,11078,10200,41.45,23.17,18.28,3550,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"83",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-07-31,1198933,670215,528718,8086,9975,41.73,23.33,18.4,3472,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
"84",111,2872892,"Europe & Central Asia","Southern Europe","Albania","ALB",2021-08-01,1203087,672765,530322,4154,9188,41.88,23.42,18.46,3198,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V","Ministry of Health","https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1789592-vaksinime/",1,28.85,0
